"Roadname and Road ID","Unique Asset ID","FountainType","Easting (Location/Map Coordinates)","Northing (Location/Map Coordinates)","Geometry"
"PARK - VICTORIA SQUARE (5322)","DF118","Curved","280787.1495","6132349.7064","POINT (15428888.6736038 -4154054.68169002)"
"PARK - VICTORIA SQUARE (5322)","DF119","Curved","280825.5499","6132265.3679","POINT (15428932.972463 -4154158.97978442)"
"PARK - VICTORIA SQUARE (5322)","DF120","Curved","280739.476","6132258.1216","POINT (15428827.9411887 -4154165.31741644)"
"RUNDLE MALL (1418)","DF121","Curved","280776.2504","6132874.0882","POINT (15428890.7233241 -4153412.90884351)"
"Z_PHOTOARCHIVE (2)","DF122","Curved","","","POINT (15426310.6467275 -4155155.2341716)"
"Z_PHOTOARCHIVE (2)","DF123","Memorial","","","POINT (15426315.4557779 -4155169.20939603)"
"Z_PHOTOARCHIVE (2)","DF124","Post","","","POINT (15426315.4557779 -4155169.20939603)"
"PARK 17 - TUTHANGGA (5173)","DF125","Post","282444.7429","6131393.6064","POINT (15430879.5303883 -4155272.82442838)"
"RUNDLE MALL (1418)","DF126","Curved","281235.2342","6132914.7203","POINT (15429450.8155696 -4153376.66325489)"
"RUNDLE MALL (1418)","DF127","Curved","280973.9901","6132893.9512","POINT (15429132.0917317 -4153394.4128011)"
"RUNDLE MALL (1418)","DF128","Refill","280972.6092","6132893.6899","POINT (15429130.4025775 -4153394.69193756)"
"LIVERPOOL ST (1315)","DF129","Curved","279881.0954","6132818.6552","POINT (15427799.0688577 -4153454.38998813)"
"HUTT ST (1286)","DF130","Unknown","281931.4871","6131892.8426","POINT (15430268.9437839 -4154647.08300953)"
"PARK 15 - ITYAMAI-ITPINA (5154)","DF131","Post","282272.5848","6132479.5032","POINT (15430701.3787237 -4153939.35759608)"
"PARK 11 - TAINMUNTILLA (5112)","DF132","Post","281463.653","6134152.6451","POINT (15429765.0065871 -4151869.19105288)"
"PARK 16 - VICTORIA PARK (5161)","DF133","Refill","282935.2084","6131878.2247","POINT (15431490.9081591 -4154694.2150014)"
"","","","","",""
